validationSplit:0.2
correspondingWeights:/usr/stud/alleboud/vision/trainedweights/04-11PM_April-10-2017_kc_LSTM.h5
batchSize:100
Beta:500
meanOfMeansImage:False
startingweights:/usr/stud/alleboud/vision/trainedweights/weights/mergedweights.h5
total number of samples:1019
val_loss,loss
1641.48282698,1297.02474133
1675.70801649,1279.03706781
1658.73784204,1291.7615686
1661.85789998,1284.70015843
1633.26710839,1278.67451206
1630.67351338,1278.69503784
1649.28563585,1276.28572878
1636.99982916,1284.17461896
1662.47181373,1264.4148421
1670.21520966,1272.93259996
1688.30552045,1287.04317545
1644.72548032,1287.90273205
1618.09284883,1281.12253912
1638.88725281,1265.9329482
1645.46767829,1259.60435102
1612.81119552,1273.7951589
1640.84443784,1265.10072523
1632.08200163,1257.59603582
1640.6371433,1266.03778451
1608.66280889,1269.58139731
1639.16018078,1256.91699743
1640.69402089,1262.98951113
1593.85149608,1255.66699855
1627.92966985,1258.52101725
1616.81769397,1252.87416816
1574.53539351,1245.57239369
1593.70633832,1255.55689694
1591.05495887,1240.68437242
1598.01048129,1250.0199188
1624.00134277,1246.45430826
1648.73615848,1248.79872496
1622.47922381,1251.79215657
1620.4667499,1243.03370245
1574.41000306,1246.75131244
1605.52769291,1258.45534417
1577.69663493,1241.84208445
1603.22901378,1235.52347644
1607.35923617,1237.25011327
1630.54932718,1235.28987524
1568.71477284,1230.76195933
1605.60924665,1220.54125864
1571.14960884,1226.77302748
1607.63574638,1222.52669914
1570.27138056,1229.53949948
1609.72687127,1221.82933559
1581.83670523,1226.5329719
1586.55327412,1219.36877554
1582.61319957,1212.77234523
1574.61164228,1215.54735504
1603.04135042,1203.86891689
1547.10550675,1209.51808363
1559.47522541,1204.64907032
1555.26501166,1193.21890521
1542.23253976,1204.77528672
1546.53085507,1197.59263695
1563.64809911,1189.63161033
1559.83076926,1187.682321
1510.8015409,1191.08219994
1543.91574486,1182.37212948
1538.03720751,1187.38491353
1542.7237839,1180.40890372
1571.40244099,1180.83406207
1533.60983994,1182.27704007
1549.22482958,1188.59554043
1541.93932986,1178.0933997
1529.34876835,1177.55374876
1519.34135527,1165.51465967
1557.80336806,1173.57031269
1522.58780147,1174.21083247
1561.83433652,1168.33758957
1556.91361521,1179.46242294
1528.72777124,1171.9855459
1570.65690882,1170.58275806
1532.27059398,1173.92214666
1579.70393252,1168.38922756
1533.10092043,1179.7631205
1520.75226877,1176.50037258
1557.75957265,1158.52691763
1534.09043346,1158.53305915
1551.74712806,1157.73827769
1473.79637834,1148.30665729
1546.54297354,1143.41705079
1505.97409776,1152.69425824
1494.84828425,1149.05749231
1531.06726792,1152.08421841
1467.75974528,1153.87332303
1506.33014634,1126.74825151
1474.32921974,1145.32739819
1498.39742743,1134.00192261
1497.19026902,1128.55688701
1479.6042645,1127.63047407
1504.32341303,1124.35782965
1540.52149694,1136.95120183
1491.62594964,1124.96247199
1473.60580714,1115.64618987
1496.58222273,1127.64960859
1477.48022222,1121.37205702
1481.6280003,1117.73069042
